Error initializing card - 1
:2107 ArduSailor Starting...
:2109 Initializing I2C devices...
:8830 Testing device connections...
:8833 MPU6050 connection successful
:8835 Initializing DMP...
:9908 Enabling DMP...
:9910 DMP ready! Waiting for first interrupt...
000000:9912 Rudder to 90
000000:10283 Winch to 115
000000:15497 Enabling GPS...
000000:15499 Done. System ready.
4155.26N, 08737.81W, 41.921123, -87.630233, 932, 2.40, 166.30, 155.76, 149, 165.38, 38.07, 96, 60, 11.32, 843
4155.26N, 08737.81W, 41.921104, -87.630233, 481, 2.30, 167.60, 152.64, 156, 164.46, 35.87, 96, 60, 11.31, 856
4155.26N, 08737.81W, 41.921081, -87.630226, 139, 2.20, 162.40, 149.98, 155, 163.33, 33.31, 96, 60, 11.32, 869
4155.26N, 08737.81W, 41.921073, -87.630218, 740, 2.20, 158.30, 145.02, 159, 164.77, 32.27, 96, 60, 11.31, 882
4155.26N, 08737.81W, 41.921054, -87.630210, 239, 2.30, 153.20, 148.67, 159, 164.95, 30.29, 98, 60, 11.31, 894
66.69, 28.91, 90, 71, 11.32, 903
4155.26N, 08737.81W, 41.921020, -87.630195, 451, 2.30, 181.30, 141.54, 158, 165.18, 26.33, 98, 60, 11.31, 910
4155.26N, 08737.81W, 41.921001, -87.630187, 122, 2.50, 148.10, 149.65, 123, 165.21, 23.98, 98, 60, 11.31, 923
4155.25N, 08737.81W, 41.920989, -87.630180, 620, 2.40, 153.90, 145.32, 123, 165.61, 22.74, 97, 71, 11.32, 931
4155.25N, 08737.80W, 41.920967, -87.630165, 260, 2.30, 150.00, 148.74, 125, 168.67, 19.77, 97, 71, 11.31, 942
4155.25N, 08737.80W, 41.920955, -87.630157, 860, 2.20, 150.70, 153.41, 123, 167.63, 18.28, 97, 71, 11.31, 955
4155.25N, 08737.80W, 41.920936, -87.630142, 479, 2.20, 155.10, 150.20, 123, 171.93, 16.11, 97, 71, 11.31, 968
4155.25N, 08737.80W, 41.920928, -87.630142, 1075, 2.10, 155.40, 141.58, 153, 171.54, 15.36, 99, 60, 11.31, 977
4155.25N, 08737.80W, 41.920909, -87.630126, 739, 2.20, 143.80, 142.31, 137, 177.53, 12.92, 99, 60, 11.31, 990
